Vehicle Model,Battery Capacity (kWh),Charging Station Location,Energy Consumed (kWh),Charging Rate (kW),Charging Time Difference (minutes),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Energy per 100 km (kWh/100 km),Charging Cost (USD),Long Session
BMW i3,108.4630074,Houston,60.71234573,25.88918057,39,Evening,Tuesday,29.37157598,85.34673948,293.6021106,27.94795306,2,DC Fast Charger,Commuter,20.67844322,24.28493829,Normal
Hyundai Kona,100,San Francisco,12.3392752,30.67773494,121,Morning,Monday,10.11577764,22.45505284,112.1128037,14.31102566,3,Level 1,Casual Driver,11.0061249,1.604105776,Normal
Chevy Bolt,75,San Francisco,19.1288757,27.51359256,168,Morning,Thursday,6.854604444,32.35977204,71.79925293,21.00200184,2,Level 2,Commuter,26.64216537,4.782218925,Long Session
Hyundai Kona,50,Houston,79.45782399,22.38286976,222,Evening,Saturday,83.12000296,100,199.5777845,38.31631316,1,Level 1,Long-Distance Traveler,39.81296024,10.32951712,Normal
Hyundai Kona,50,Los Angeles,19.62910417,10.21571207,106,Morning,Saturday,54.25894969,93.51715803,203.6618466,-7.834199027,1,Level 1,Long-Distance Traveler,9.638086121,2.551783542,Long Session
Nissan Leaf,50,San Francisco,43.18113714,39.83452278,90,Evening,Saturday,75.21774834,100,143.6800461,-5.274217797,0,DC Fast Charger,Long-Distance Traveler,30.05367712,17.27245486,Long Session
Chevy Bolt,85,Houston,36.86213999,26.18518786,113,Evening,Friday,60.75178076,100,81.33800891,27.55133468,4,Level 2,Commuter,45.31969799,9.215534998,Long Session
Chevy Bolt,75,Los Angeles,51.46761686,26.70290777,222,Afternoon,Monday,56.20170303,100,116.5431658,-4.417459666,0,Level 2,Long-Distance Traveler,44.16184897,12.86690422,Long Session
Chevy Bolt,62,Los Angeles,43.59237228,39.79492293,81,Evening,Wednesday,33.46620026,100,208.2597425,22.51670643,4,Level 1,Commuter,20.93173254,5.667008396,Normal
Hyundai Kona,50,Chicago,78.86860745,11.76099972,224,Morning,Wednesday,27.39945463,100,54.0063092,27.51201936,2.830381307,DC Fast Charger,Commuter,146.0359144,31.54744298,Normal
BMW i3,50,Los Angeles,18.20619748,10.31070111,239,Night,Thursday,76.08656557,100,64.63464375,0.500433564,3,DC Fast Charger,Casual Driver,28.16786234,7.282478992,Long Session
Chevy Bolt,85,San Francisco,22.56492948,4.464822629,235,Evening,Sunday,14.61890237,41.16587823,194.7638067,34.26261127,0,DC Fast Charger,Long-Distance Traveler,11.58579197,9.025971792,Long Session
Hyundai Kona,100,San Francisco,34.25645291,5.523688619,60,Afternoon,Monday,19.20544695,53.46189986,249.1275965,23.66296536,0,Level 2,Casual Driver,13.75056533,8.564113228,Normal
Nissan Leaf,75,Houston,16.56106433,19.76909872,174,Morning,Friday,25.77541539,47.8568345,159.2316102,34.11034864,7,Level 2,Commuter,10.40061349,4.140266083,Long Session
BMW i3,85,Houston,12.92754529,24.21115012,212,Afternoon,Monday,71.68354384,86.89242065,155.3606054,39.50544569,4,Level 1,Casual Driver,8.320993121,1.680580888,Long Session
Nissan Leaf,100,Los Angeles,27.35431788,11.11249884,139,Evening,Monday,10.67715373,38.03147161,247.6594369,-8.302136899,1.535234088,DC Fast Charger,Long-Distance Traveler,11.04513449,10.94172715,Long Session
BMW i3,97.68181223,New York,24.72693768,49.40273862,122,Evening,Thursday,67.59197091,92.90572903,237.3064209,4.415329619,7,DC Fast Charger,Commuter,10.41983507,9.890775072,Normal
Hyundai Kona,50,Chicago,23.82404047,6.614280125,193,Evening,Friday,57.59519512,100,22.00682916,18.40570905,6,Level 2,Casual Driver,108.2574881,5.956010118,Normal
Tesla Model 3,100,New York,42.63801819,20.49084605,183,Evening,Saturday,55.51705087,98.15506906,280.862071,37.43035653,0,Level 1,Long-Distance Traveler,15.18112362,5.542942365,Long Session
BMW i3,50,Los Angeles,48.48248431,45.29143535,82,Morning,Wednesday,12.75487757,100,243.2557695,9.202409892,3,Level 2,Long-Distance Traveler,19.93066163,12.12062108,Normal
Nissan Leaf,50,Los Angeles,50.27906667,30.48996023,174,Night,Tuesday,16.54551237,100,15.4204446,33.9803101,3,Level 2,Casual Driver,326.0545853,12.56976667,Normal
Hyundai Kona,62,New York,59.13503162,20.1704783,115,Evening,Sunday,71.53031213,100,219.6263569,-2.755069332,5,Level 1,Commuter,26.92528913,7.687554111,Long Session
BMW i3,75,Chicago,49.19642959,19.19488284,182,Afternoon,Saturday,49.02423911,100,298.1881223,39.95893732,4.257936703,DC Fast Charger,Long-Distance Traveler,16.4984538,19.67857184,Long Session
Tesla Model 3,100,New York,68.44712632,49.71030697,31,Morning,Friday,19.23313913,87.68026545,280.9154682,3.580839954,5,DC Fast Charger,Commuter,24.36573776,27.37885053,Normal
Tesla Model 3,100,Houston,27.60438468,11.23853863,115,Morning,Wednesday,65.48688658,93.09127126,173.4715265,35.97782192,4,Level 1,Long-Distance Traveler,15.91291968,3.588570008,Long Session
Chevy Bolt,75,San Francisco,40.1780035,37.8186148,162,Morning,Saturday,80.34408373,100,82.75461394,21.53684397,1,DC Fast Charger,Commuter,48.55077148,16.0712014,Long Session
